트립ID,트립명,도시,출발일,도착일,유형,참가자명,소속,직급,유입경로,1인참가비,트립총매출,트립총비용,트립영업이익,만족도,NPS,재참가의향,컨설팅전환
TRIP-2601-01,도쿄 F&B 인사이트 트립,도쿄,2026-01-09,2026-01-11,B2C,김서연,IT 기업 E,대표,인스타그램,1890000,11340000,6250000,5090000,4.3,9,아니오,미전환
TRIP-2601-01,도쿄 F&B 인사이트 트립,도쿄,2026-01-09,2026-01-11,B2C,이준호,패션 브랜드 B,기획자,지인추천,1890000,11340000,6250000,5090000,4.3,9,미정,미전환
TRIP-2601-01,도쿄 F&B 인사이트 트립,도쿄,2026-01-09,2026-01-11,B2C,박민지,광고 대행사 G,매니저,검색,1890000,11340000,6250000,5090000,4.2,9,미정,미전환
TRIP-2601-01,도쿄 F&B 인사이트 트립,도쿄,2026-01-09,2026-01-11,B2C,정우진,광고 대행사 G,기획자,지인추천,1890000,11340000,6250000,5090000,4.8,9,미정,
TRIP-2601-01,도쿄 F&B 인사이트 트립,도쿄,2026-01-09,2026-01-11,B2C,최하늘,패션 브랜드 B,기획자,검색,1890000,11340000,6250000,5090000,4.1,6,예,미전환
TRIP-2601-01,도쿄 F&B 인사이트 트립,도쿄,2026-01-09,2026-01-11,B2C,강예린,프리랜서,이사,인스타그램,1890000,11340000,6250000,5090000,4.5,8,예,
TRIP-2601-02,상하이 리테일 트렌드 투어,상하이,2026-01-23,2026-01-25,B2B,윤도현,위시컴퍼니 브랜드전략팀,팀장,기업,,15000000,8200000,6800000,4.2,9,아니오,미전환
TRIP-2601-02,상하이 리테일 트렌드 투어,상하이,2026-01-23,2026-01-25,B2B,한소희,위시컴퍼니 글로벌마케팅팀,매니저,기업,,15000000,8200000,6800000,4.7,9,미정,
TRIP-2601-02,상하이 리테일 트렌드 투어,상하이,2026-01-23,2026-01-25,B2B,임재혁,위시컴퍼니 MD팀,MD,기업,,15000000,8200000,6800000,4.9,9,예,
TRIP-2601-02,상하이 리테일 트렌드 투어,상하이,2026-01-23,2026-01-25,B2B,송유진,위시컴퍼니 디자인팀,디렉터,기업,,15000000,8200000,6800000,4.8,7,예,전환
TRIP-2601-02,상하이 리테일 트렌드 투어,상하이,2026-01-23,2026-01-25,B2B,배현우,위시컴퍼니 마케팅팀,매니저,기업,,15000000,8200000,6800000,4.6,7,아니오,
TRIP-2601-02,상하이 리테일 트렌드 투어,상하이,2026-01-23,2026-01-25,B2B,조은서,위시컴퍼니 기획팀,기획자,기업,,15000000,8200000,6800000,4.4,10,미정,
TRIP-2601-02,상하이 리테일 트렌드 투어,상하이,2026-01-23,2026-01-25,B2B,신동훈,위시컴퍼니 브랜드전략팀,매니저,기업,,15000000,8200000,6800000,4.4,8,아니오,전환
TRIP-2601-02,상하이 리테일 트렌드 투어,상하이,2026-01-23,2026-01-25,B2B,류지민,위시컴퍼니 글로벌마케팅팀,팀장,기업,,15000000,8200000,6800000,4.8,10,예,전환
TRIP-2602-01,도쿄 브랜드 스터디,도쿄,2026-02-06,2026-02-08,B2C,오세라,콘텐츠 기획사,마케터,지인추천,1890000,15120000,8050000,7070000,4.2,10,미정,미전환
TRIP-2602-01,도쿄 브랜드 스터디,도쿄,2026-02-06,2026-02-08,B2C,문정환,디자인 스튜디오 D,기획자,강연,1890000,15120000,8050000,7070000,4.1,9,예,미전환
TRIP-2602-01,도쿄 브랜드 스터디,도쿄,2026-02-06,2026-02-08,B2C,황수빈,프리랜서,기획자,강연,1890000,15120000,8050000,7070000,4.7,10,예,미전환
TRIP-2602-01,도쿄 브랜드 스터디,도쿄,2026-02-06,2026-02-08,B2C,전태영,미디어 기업 F,에디터,지인추천,1890000,15120000,8050000,7070000,4.5,10,아니오,
TRIP-2602-01,도쿄 브랜드 스터디,도쿄,2026-02-06,2026-02-08,B2C,남지혜,브랜드 컨설턴트,매니저,인스타그램,1890000,15120000,8050000,7070000,4.4,10,미정,전환
TRIP-2602-01,도쿄 브랜드 스터디,도쿄,2026-02-06,2026-02-08,B2C,구본석,유통 기업 I,디렉터,뉴스레터,1890000,15120000,8050000,7070000,4.9,8,아니오,
